,Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age,Probability
292,6.0,Physical activity,39.0,Active,35.0,31.0,31.0,0.37200000000000005
293,6.0,Physical activity,39.0,Active,35.0,31.0,32.0,0.37200000000000005
294,6.0,Physical activity,39.0,Active,35.0,31.0,33.0,0.37200000000000005
295,6.0,Physical activity,39.0,Active,35.0,31.0,34.0,0.37200000000000005
296,6.0,Physical activity,39.0,Active,35.0,31.0,35.0,0.37200000000000005
297,6.0,Physical activity,39.0,Active,35.0,31.0,36.0,0.37200000000000005
298,6.0,Physical activity,39.0,Active,35.0,31.0,37.0,0.37200000000000005
299,6.0,Physical activity,39.0,Active,35.0,31.0,38.0,0.37200000000000005
300,6.0,Physical activity,39.0,Active,35.0,31.0,39.0,0.37200000000000005
301,6.0,Physical activity,39.0,Active,35.0,31.0,40.0,0.37200000000000005
302,6.0,Physical activity,39.0,Active,35.0,31.0,41.0,0.37200000000000005
303,6.0,Physical activity,39.0,Active,35.0,31.0,42.0,0.37200000000000005
304,6.0,Physical activity,39.0,Active,35.0,31.0,43.0,0.37200000000000005
305,6.0,Physical activity,39.0,Active,35.0,31.0,44.0,0.37200000000000005
306,6.0,Physical activity,39.0,Active,35.0,31.0,45.0,0.327
307,6.0,Physical activity,39.0,Active,35.0,31.0,46.0,0.327
308,6.0,Physical activity,39.0,Active,35.0,31.0,47.0,0.327
309,6.0,Physical activity,39.0,Active,35.0,31.0,48.0,0.327
310,6.0,Physical activity,39.0,Active,35.0,31.0,49.0,0.327
311,6.0,Physical activity,39.0,Active,35.0,31.0,50.0,0.327
312,6.0,Physical activity,39.0,Active,35.0,31.0,51.0,0.327
313,6.0,Physical activity,39.0,Active,35.0,31.0,52.0,0.327
314,6.0,Physical activity,39.0,Active,35.0,31.0,53.0,0.327
315,6.0,Physical activity,39.0,Active,35.0,31.0,54.0,0.327
316,6.0,Physical activity,39.0,Active,35.0,31.0,55.0,0.28300000000000003
317,6.0,Physical activity,39.0,Active,35.0,31.0,56.0,0.28300000000000003
